Protein,Label,log2FC,SE,DF,pvalue,adj.pvalue,issue
EBV_A0A0C7TNE4,ctrlH-Norm,-0.11324863016141,0.573536561848238,20.6051772414392,0.845405028915704,0.999843706217135,NA
EBV_A0A0C7TNE4,M-Norm,-0.503366766263468,0.46829064178613,20.6051772414392,0.294844747531395,0.99768989811509,NA
EBV_A0A0C7TNH9,ctrlH-M,0.704841132263375,0.662715325462234,19.6124476410139,0.300446121550241,0.933647425157431,NA
EBV_A0A0C7TNH9,ctrlH-Norm,0.280320604880147,0.662715325462234,19.6124476411083,0.676905930089548,0.999843706217135,NA
EBV_A0A0C7TNH9,M-Norm,-0.424520527383228,0.541104797368319,19.6124476412264,0.442094782881094,0.99768989811509,NA
EBV_A0A0C7TNS5,ctrlH-M,0.682844201454063,0.515735300456824,20.6051773329825,0.199997195047212,0.933647425157431,NA
EBV_A0A0C7TNS5,ctrlH-Norm,0.109283314815779,0.515735300456824,20.6051773329825,0.834268517800162,0.999843706217135,NA
EBV_A0A0C7TNS5,M-Norm,-0.573560886638284,0.421096109486731,20.6051773329895,0.187882805279803,0.99768989811509,NA
EBV_A0A0C7TS97,ctrlH-M,0.616451858129388,0.535461761239207,20.6051771023878,0.262812662396411,0.933647425157431,NA
EBV_A0A0C7TS97,ctrlH-Norm,0.729742295752707,0.535461761239207,20.6051771023878,0.187646374904461,0.999843706217135,NA
EBV_A0A0C7TS97,M-Norm,0.113290437623319,0.437202697269351,20.6051771023878,0.7981094414525,0.99768989811509,NA
EBV_A0A0C7TSA8,ctrlH-M,1.13583367119307,0.83813737364061,13.6051774302977,0.197431473668665,0.933647425157431,NA
